"grid_name","nb_tot_carr","nb_carr_casias","IPP_chimique","IPP_elements_mineraux","IPP_metaux_et_metalloides","IPP_micropolluants_organiques","IPP_pharmaceutiques_et_hormones","IPP_phytosanitaires","IPP_parametres_azotes_carr","IPP_parametres_phosphores_carr","IPP_radioactifs_isotopes_et_traceurs_carr","IPP_amiante_carr","IPP_composes_chlores_carr","IPP_composes_cyanures_carr","IPP_composes_soufres_carr","IPP_autres_elements_mineraux_carr","IPP_aluminium_et_ses_derives_carr","IPP_arsenic_et_ses_derives_carr","IPP_cadmium_et_ses_derives_carr","IPP_chrome_et_ses_derives_carr","IPP_cuivre_et_ses_derives_carr","IPP_fer_et_ses_derives_carr","IPP_magnesium_et_ses_derives_carr","IPP_manganese_et_ses_derives_carr","IPP_mercure_et_ses_derives_carr","IPP_molybdene_et_ses_derives_carr","IPP_nickel_et_ses_derives_carr","IPP_plomb_et_ses_derives_carr","IPP_uranium_et_ses_derives_carr","IPP_zinc_et_ses_derives_carr","IPP_autres_metaux_et_metalloides_carr","IPP_acides_carboxyliques_carr","IPP_additifs_d_essence_mtbe_etbe_dipe__carr","IPP_additifs_du_1_1_1_tca_carr","IPP_alcools_et_polyols_carr","IPP_aldehydes_et_cetones_carr","IPP_alkylphenols_nonylphenols_et_bisphenols_a_carr","IPP_amines_carr","IPP_anilines_et_derives_carr","IPP_solvants_chlores_carr","IPP_freons_carr","IPP_autres_cohv_carr","IPP_btex_carr","IPP_derives_du_benzene_carr","IPP_carbamates_carr","IPP_chloroalcanes_sccp_carr","IPP_chlorobenzenes_et_autre_mono_aromatiques_chlores_carr","IPP_phenol_cresol_et_derives_carr","IPP_chlorophenols_carr","IPP_pcb_carr","IPP_dioxines_et_furanes_pcdd_pcdf__carr","IPP_hap_hydrocarbures_aromatiques_polycyclique_pyrolytique_et_derives__carr","IPP_hydrocarbures_et_indices_lies_carr","IPP_nitriles_carr","IPP_organochlores_carr","IPP_organophosphores_carr","IPP_pbde_et_pbb_carr","IPP_pfc_pfoa_pfos__carr","IPP_phtalates_carr","IPP_triazines_et_metabolites_carr","IPP_trihalomethanes_thm__carr","IPP_urees_et_metabolites_carr","IPP_divers_autres_organiques__carr","IPP_analgesiques_et_anti_inflammatoires_carr","IPP_antibiotiques_carr","IPP_anti_cancereux_carr","IPP_anti_epileptiques_carr","IPP_betabloquants_carr","IPP_hypolipidemiants_carr","IPP_psychotropes_carr","IPP_steroles_et_steroides_oestrogenes_progestogenes__carr","IPP_autres_pharmaceutiques_et_hormones_carr","IPP_acaricides_carr","IPP_fongicides_carr","IPP_herbicides_carr","IPP_insecticides_carr","IPP_nematicides_carr","IPP_regulateurs_de_croissances_carr","IPP_rodenticides_carr","IPP_autres_phytosanitaires_carr"
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,15773,14581,15704,15267,15768,15688,15756,15760,15690,15432,15702,15788,15799,15790,15067,15389,15708,14261,15741,15783,442,15783,15772,12071,11966,11023,15773,15572,13425,11383,10003,15805,3080,11175,15792,14759,2225,9898,13883,15774,12143,15762,12729,15762,15807,5829,11264,13090,8795,9515,12584,11895,6656,11730,15021,1041,545,11730,243,0,0,541,1134,14997,736,12591,11149,6794,421,1668,1107,15392
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,7408,6962,7384,7228,7394,7374,7402,7397,7363,7282,7361,7399,7408,7399,7164,7299,7366,6896,7387,7395,182,7396,7407,5755,5750,5686,7408,7333,6515,5495,4837,7409,1561,5345,7404,6811,946,4851,6708,7392,6024,7402,6147,7393,7410,2492,5905,6439,4131,4716,6024,5769,3278,5577,7180,382,174,5589,89,0,0,170,425,7174,352,6150,5714,3186,178,622,536,7281
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,3693,3495,3683,3608,3685,3678,3691,3687,3671,3654,3668,3687,3691,3686,3600,3669,3672,3489,3687,3684,86,3686,3693,2851,2906,2992,3691,3657,3329,2738,2434,3693,783,2689,3689,3324,415,2461,3450,3684,3135,3688,3156,3685,3693,1098,3149,3320,2019,2492,3000,2905,1690,2757,3624,164,68,2765,36,0,0,66,180,3621,163,3145,3019,1482,88,246,263,3635
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,1699,1627,1693,1658,1693,1690,1699,1699,1691,1684,1686,1696,1698,1698,1658,1689,1688,1612,1697,1697,44,1698,1699,1317,1362,1436,1698,1679,1560,1266,1143,1699,339,1262,1695,1532,171,1161,1610,1697,1478,1695,1477,1696,1699,428,1524,1566,924,1216,1378,1355,838,1271,1675,65,27,1275,11,0,0,26,69,1672,84,1472,1433,639,43,96,121,1680
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,1029,991,1025,1001,1029,1023,1029,1028,1025,1021,1023,1027,1029,1028,1008,1025,1025,985,1026,1027,29,1028,1029,819,846,879,1028,1017,955,767,718,1029,206,777,1027,939,102,727,985,1027,916,1027,909,1028,1029,251,944,957,565,764,855,830,513,788,1018,36,14,795,4,0,0,14,36,1020,47,907,891,372,26,55,67,1018
"pollution_grid_4km",1248,683,681,681,681,681,5,651,681,662,680,672,680,678,681,681,679,679,679,681,681,681,673,680,680,660,681,681,17,681,681,553,589,607,680,674,637,522,487,681,122,538,680,640,60,502,662,681,618,680,612,681,681,134,649,649,389,525,576,569,370,529,679,18,6,533,1,0,0,6,21,676,31,606,605,245,18,32,43,680
"pollution_grid_5km",806,476,476,476,476,476,2,466,476,464,475,471,476,474,476,476,476,474,474,475,476,476,474,476,476,462,475,476,9,476,476,403,432,426,476,470,452,378,360,476,95,394,476,451,46,376,463,476,439,475,432,476,476,88,456,455,282,382,418,414,272,384,474,9,4,393,1,0,0,4,12,474,23,431,432,166,13,19,26,476
"pollution_grid_6km",546,347,346,346,346,346,2,338,346,342,345,344,346,344,346,346,345,345,346,346,346,346,345,346,346,338,346,346,6,346,346,297,322,319,346,346,332,279,266,346,62,290,346,333,30,274,341,346,324,346,318,346,346,51,341,335,207,289,304,301,202,288,345,6,3,288,0,0,0,3,7,346,14,319,316,127,4,11,11,344
"pollution_grid_7km",414,264,264,264,264,264,1,262,264,261,264,263,264,263,264,264,264,264,264,264,264,264,264,264,264,260,264,264,4,264,264,235,252,250,264,261,255,219,213,264,43,233,264,257,18,214,259,264,250,264,246,264,264,33,259,258,158,225,238,239,165,224,264,3,1,227,0,0,0,1,5,264,11,245,248,74,3,5,9,264
"pollution_grid_8km",320,207,207,207,207,207,1,202,207,205,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,203,207,207,4,207,207,190,200,193,207,205,201,177,171,207,31,184,207,200,18,169,204,207,201,207,196,207,207,21,202,204,131,175,190,190,134,178,207,2,2,181,0,0,0,2,3,206,10,197,200,72,3,6,6,207
