"grid_name","nb_tot_carr","nb_carr_casias","chimique","elements_mineraux","metaux_et_metalloides","micropolluants_organiques","pharmaceutiques_et_hormones","phytosanitaires","parametres_azotes_carr","parametres_phosphores_carr","radioactifs_isotopes_et_traceurs_carr","amiante_carr","composes_chlores_carr","composes_cyanures_carr","composes_soufres_carr","autres_elements_mineraux_carr","aluminium_et_ses_derives_carr","arsenic_et_ses_derives_carr","cadmium_et_ses_derives_carr","chrome_et_ses_derives_carr","cuivre_et_ses_derives_carr","fer_et_ses_derives_carr","magnesium_et_ses_derives_carr","manganese_et_ses_derives_carr","mercure_et_ses_derives_carr","molybdene_et_ses_derives_carr","nickel_et_ses_derives_carr","plomb_et_ses_derives_carr","uranium_et_ses_derives_carr","zinc_et_ses_derives_carr","autres_metaux_et_metalloides_carr","acides_carboxyliques_carr","additifs_d_essence_mtbe_etbe_dipe__carr","additifs_du_1_1_1_tca_carr","alcools_et_polyols_carr","aldehydes_et_cetones_carr","alkylphenols_nonylphenols_et_bisphenols_a_carr","amines_carr","anilines_et_derives_carr","solvants_chlores_carr","freons_carr","autres_cohv_carr","btex_carr","derives_du_benzene_carr","carbamates_carr","chloroalcanes_sccp_carr","chlorobenzenes_et_autre_mono_aromatiques_chlores_carr","phenol_cresol_et_derives_carr","chlorophenols_carr","pcb_carr","dioxines_et_furanes_pcdd_pcdf__carr","hap_hydrocarbures_aromatiques_polycyclique_pyrolytique_et_derives__carr","hydrocarbures_et_indices_lies_carr","nitriles_carr","organochlores_carr","organophosphores_carr","pbde_et_pbb_carr","pfc_pfoa_pfos__carr","phtalates_carr","triazines_et_metabolites_carr","trihalomethanes_thm__carr","urees_et_metabolites_carr","divers_autres_organiques__carr","analgesiques_et_anti_inflammatoires_carr","antibiotiques_carr","anti_cancereux_carr","anti_epileptiques_carr","betabloquants_carr","hypolipidemiants_carr","psychotropes_carr","steroles_et_steroides_oestrogenes_progestogenes__carr","autres_pharmaceutiques_et_hormones_carr","acaricides_carr","fongicides_carr","herbicides_carr","insecticides_carr","nematicides_carr","regulateurs_de_croissances_carr","rodenticides_carr","autres_phytosanitaires_carr"
"pollution_grid_200m",484671,15924,15825,15862,15861,15862,12266,15783,15825,14608,15753,15376,15816,15746,15809,15813,15755,15503,15761,15844,15854,15847,15128,15450,15761,14669,15802,15842,644,15841,15824,12248,12213,11242,15827,15620,13541,11707,10482,15860,4000,11543,15845,14827,3425,10534,13964,15832,12399,15814,12984,15823,15862,6952,11606,13245,9195,9695,12749,12188,7980,11957,15079,1474,1158,11941,750,0,0,1154,1585,15108,1097,12804,11861,7519,743,2956,1455,15472
"pollution_grid_500m",77559,7437,7408,7410,7410,7410,5930,7390,7408,6973,7385,7244,7394,7376,7402,7397,7369,7287,7362,7399,7408,7399,7180,7311,7369,7069,7388,7396,551,7396,7407,5926,5883,5812,7409,7335,6617,5758,5230,7409,2602,5649,7404,6831,2320,5368,6762,7392,6193,7404,6325,7394,7410,3684,6119,6524,4553,4977,6135,5957,4069,5811,7196,1129,902,5805,644,0,0,898,1180,7229,882,6348,6179,3973,626,1867,1149,7293
"pollution_grid_1km",19530,3704,3693,3693,3693,3693,2963,3681,3693,3502,3683,3616,3685,3679,3691,3687,3673,3655,3668,3687,3691,3686,3609,3670,3673,3574,3687,3684,431,3686,3693,2960,2966,3069,3692,3657,3393,2892,2694,3693,1567,2889,3689,3340,1446,2771,3477,3685,3229,3689,3252,3685,3693,1989,3244,3366,2381,2711,3061,3010,2175,2912,3626,769,630,2911,499,0,0,627,783,3644,648,3249,3219,2104,496,1156,835,3643
"pollution_grid_2km",4914,1704,1699,1699,1699,1699,1388,1696,1699,1628,1693,1662,1693,1690,1699,1699,1692,1685,1686,1696,1698,1698,1661,1689,1688,1649,1697,1697,299,1698,1699,1385,1397,1464,1698,1679,1584,1358,1283,1699,856,1353,1695,1536,802,1325,1624,1697,1520,1696,1520,1696,1699,977,1552,1581,1139,1323,1419,1401,1063,1366,1676,464,390,1365,347,0,0,387,459,1679,422,1523,1514,1019,355,642,541,1682
"pollution_grid_3km",2184,1032,1029,1029,1029,1029,855,1027,1029,991,1025,1004,1029,1024,1029,1028,1025,1022,1023,1027,1029,1028,1009,1025,1026,1006,1026,1027,222,1028,1029,855,860,898,1028,1017,966,839,799,1029,574,846,1027,942,547,823,990,1027,942,1027,938,1028,1029,614,958,966,717,820,880,867,673,848,1019,334,282,848,260,0,0,279,326,1022,315,932,933,648,274,448,394,1019
"pollution_grid_4km",1248,683,681,681,681,681,592,681,681,662,680,673,680,678,681,681,679,680,679,681,681,681,673,680,680,673,681,681,188,681,681,591,606,615,681,675,652,584,564,681,427,590,680,642,411,586,667,681,637,680,631,681,681,441,654,654,503,567,606,601,489,582,679,258,221,582,211,0,0,220,260,679,245,631,634,457,222,338,304,680
"pollution_grid_5km",806,476,476,476,476,476,425,476,476,464,475,471,476,474,476,476,476,474,474,475,476,476,474,476,476,470,475,476,159,476,476,425,440,437,476,470,456,422,409,476,326,425,476,454,322,423,465,476,447,475,444,476,476,332,461,456,372,408,433,431,366,422,475,211,180,422,177,0,0,179,209,476,204,443,443,360,185,270,250,476
"pollution_grid_6km",546,347,346,346,346,346,319,346,346,342,345,344,346,344,346,346,345,345,346,346,346,346,345,346,346,341,346,346,135,346,346,319,326,328,346,346,338,317,312,346,253,318,346,336,251,319,343,346,333,346,331,346,346,260,342,337,289,314,324,323,278,319,346,175,154,319,142,0,0,153,174,346,168,328,330,276,155,214,198,344
"pollution_grid_7km",414,264,264,264,264,264,249,264,264,261,264,263,264,263,264,264,264,264,264,264,264,264,264,264,264,262,264,264,118,264,264,249,254,253,264,262,260,249,245,264,210,247,264,257,210,253,260,264,256,264,255,264,264,212,260,259,229,242,251,251,226,249,264,146,125,249,127,0,0,125,145,264,146,255,255,222,139,186,170,264
"pollution_grid_8km",320,207,207,207,207,207,199,207,207,205,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,206,207,207,98,207,207,199,200,200,207,205,204,198,197,207,168,198,207,201,170,197,205,207,203,207,203,207,207,170,203,204,189,194,199,197,181,198,207,128,112,198,106,0,0,112,129,207,121,203,203,181,113,156,139,207
