code_metier;nom_inventaire;code_inventaire;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;nature_localisation;x_wgs84;y_wgs84;fiche_risque
SSP3890219;BASIAS;IDF9301160;; route MONTMORENCY de;93430;93079;VILLETANEUSE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890219
SSP3889759;BASIAS;IDF9300697;;7 route POISSONNIERS des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889759
SSP3889726;BASIAS;IDF9300664;;12 rue GABRIEL PERI;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889726
SSP3889727;BASIAS;IDF9300665;;3 Passage GAZ du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889727
SSP3890917;BASIAS;IDF9301860;; Non renseigné;;93013;LE BOURGET;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890917
SSP3892193;BASIAS;IDF9303143;; Chemin MEAUX de;93360;93049;NEUILLY PLAISANCE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3892193
SSP3893676;BASIAS;IDF9304637;IMPRIMERIE;43 rue JEAN JACQUES ROUSSEAU;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3893676
SSP3894076;BASIAS;IDF9305037;CHAUDRONNERIE; rue EDOUARD VAILLANT;93140;93010;BONDY;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3894076
SSP3889748;BASIAS;IDF9300686;; CORNILLON Le;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889748
SSP3889754;BASIAS;IDF9300692;;" boulevard MARCEL SEMBAT, ex 21 cours RAGOT";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889754
