code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP0000017;Station-service Total;22 AVENUE SALVADOR ALLENDE;93800;93031;EPINAY SUR SEINE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.3089654;48.955944;https://fiches-risques.brgm.fr/georisques/casias/SSP0000017
SSP0000002;Ancienne usine à gaz;13 BIS R Davy;93250;93077;VILLEMOMBLE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.5057652;48.893593;https://fiches-risques.brgm.fr/georisques/casias/SSP0000002
SSP0000069;Station service SHELL;1 À 3 RUE JEAN LOLIVE;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.4321296;48.8688;https://fiches-risques.brgm.fr/georisques/casias/SSP0000069
SSP0000181;Benitah;5 RUE SÉVERINE (ANCIENNE GARE MILITAIRE DE PIERREFITTE);93380;93059;PIERREFITTE SUR SEINE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.355865;48.96105;https://fiches-risques.brgm.fr/georisques/casias/SSP0000181
SSP0000275;AKZO NOBEL (ex TRIMETAL);;;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3862915;48.91027;https://fiches-risques.brgm.fr/georisques/casias/SSP0000275
SSP0000334;Ancienne usine à gaz (EDF/GDF);147 Avenue du Maréchal Foch;93360;93049;NEUILLY PLAISANCE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.5173373;48.861088;https://fiches-risques.brgm.fr/georisques/casias/SSP0000334
SSP0005349;TFR (Toute la France pour la Route);100 AVENUE WALDECK ROCHET;93120;93027;LA COURNEUVE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.4105937;48.941494;https://fiches-risques.brgm.fr/georisques/casias/SSP0005349
SSP0007562;RHODIA CHIMIE ex SOCIETE CHIMIQUE DE LA COURNEUVE;45 quai lucien lefranc;93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.3700736;48.913292;https://fiches-risques.brgm.fr/georisques/casias/SSP0007562
SSP0003875;L'Île-Saint-Denis - Site Charvet et ses abords;15 15-BIS 16 23-26 ET 27 QUAI CHÂTELIER- BERGES OUEST ET EST DE LA SEINE;93450;93039;L'ILE SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En activité;2.337959;48.931232;https://fiches-risques.brgm.fr/georisques/casias/SSP0003875
SSP3890528;;Quai LUCIEN LEFRANC - Pont du Landy;93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.372607;48.914658;https://fiches-risques.brgm.fr/georisques/casias/SSP3890528
SSP3889220;;25 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3634927;48.914867;https://fiches-risques.brgm.fr/georisques/casias/SSP3889220
SSP3889222;;35 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3627152;48.915173;https://fiches-risques.brgm.fr/georisques/casias/SSP3889222
SSP3889227;;40 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3619378;48.915657;https://fiches-risques.brgm.fr/georisques/casias/SSP3889227
SSP3889274;;9 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3569558;48.911083;https://fiches-risques.brgm.fr/georisques/casias/SSP3889274
